"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ODF_QualificationMark","b_Completed","b_Upcoming","n_BDF_VideoSessionID","TeamMemberList.n_Position1","TeamMemberList.n_Position2","TeamMemberList.n_Position3","TeamMemberList.c_Person1","TeamMemberList.c_Person2","TeamMemberList.c_Person3","TeamMemberList.c_PersonFirstName1","TeamMemberList.c_PersonFirstName2","TeamMemberList.c_PersonFirstName3","TeamMemberList.c_PersonLastName1","TeamMemberList.c_PersonLastName2","TeamMemberList.c_PersonLastName3","TeamMemberList.c_PersonShort1","TeamMemberList.c_PersonShort2","TeamMemberList.c_PersonShort3","TeamMemberList.c_Bib1","TeamMemberList.c_Bib2","TeamMemberList.c_Bib3","TeamMemberList.n_BDF_VideoSessionID1","TeamMemberList.n_BDF_VideoSessionID2","TeamMemberList.n_BDF_VideoSessionID3"
"4","384","China","CHN","China","1","6","26","2770","China","CHN","1","1","1","336.89","336.89","336890","Q","TRUE","FALSE","1","1","2","3","MENGTAO Xu","JIA Zongyang","QI Guangpu","Mengtao","Zongyang","Guangpu","Xu","Jia","Qi","MENGTAO X","JIA Z","QI G","1-1","1-2","1-3","1","1","1"
"4","1948","United States","USA","United States","2","3","5","2209","United States","USA","1","1","1","338.34","338.34","338340",NA,"TRUE","FALSE","1","1","2","3","CALDWELL Ashley","LILLIS Chris","SCHOENEFELD Justin","Ashley","Christopher","Justin","Caldwell","Lillis","Schoenefeld","CALDWELL A","LILLIS C","SCHOENEFELD J","2-1","2-2","2-3","1","1","1"
"4","1948","United States","USA","United States","2","5","5","2209","United States","USA","2","2","2","330.55","330.55","330550","Q","TRUE","FALSE","1","1","2","3","CALDWELL Ashley","LILLIS Chris","SCHOENEFELD Justin","Ashley","Christopher","Justin","Caldwell","Lillis","Schoenefeld","CALDWELL A","LILLIS C","SCHOENEFELD J","2-1","2-2","2-3","1","1","1"
"4","384","China","CHN","China","1","4","26","2770","China","CHN","2","2","2","324.22","324.22","324220",NA,"TRUE","FALSE","1","1","2","3","MENGTAO Xu","JIA Zongyang","QI Guangpu","Mengtao","Zongyang","Guangpu","Xu","Jia","Qi","MENGTAO X","JIA Z","QI G","1-1","1-2","1-3","1","1","1"
"4","1127","Canada","CAN","Canada","5","2","159","2231","Canada","CAN","3","3","3","326.94","326.94","326940","Q","TRUE","FALSE","1","1","2","3","THENAULT Marion","FONTAINE Miha","IRVING Lewis","Marion","Miha","Lewis","Thenault","Fontaine","Irving","THENAULT M","FONTAINE M","IRVING L","5-1","5-2","5-3","1","1","1"
"4","1127","Canada","CAN","Canada","5","2","159","2231","Canada","CAN","3","3","3","290.98","290.98","290980",NA,"TRUE","FALSE","1","1","2","3","THENAULT Marion","FONTAINE Miha","IRVING Lewis","Marion","Miha","Lewis","Thenault","Fontaine","Irving","THENAULT M","FONTAINE M","IRVING L","5-1","5-2","5-3","1","1","1"
"4","784","Switzerland","SUI","Switzerland","3","4","149","2213","Switzerland","SUI","4","4","4","300.62","300.62","300620","Q","TRUE","FALSE","1","1","2","3","BAER Alexandra","WERNER Pirmin","ROTH Noe","Alexandra","Pirmin","Noe","Baer","Werner","Roth","BAER A","WERNER P","ROTH N","3-1","3-2","3-3","1","1","1"
"4","784","Switzerland","SUI","Switzerland","3","1","149","2213","Switzerland","SUI","4","4","4","276.01","276.01","276010",NA,"TRUE","FALSE","1","1","2","3","BAER Alexandra","WERNER Pirmin","ROTH Noe","Alexandra","Pirmin","Noe","Baer","Werner","Roth","BAER A","WERNER P","ROTH N","3-1","3-2","3-3","1","1","1"
"4","475658","ROC","ROC","ROC","4","3","23062","73035","ROC","ROC","5","5","5","295.97","295.97","295970",NA,"TRUE","FALSE","1","1","2","3","NIKITINA Liubov","BUROV Ilya","NIKITIN Stanislav","Liubov","Ilya","Stanislav","Nikitina","Burov","Nikitin","NIKITINA L","BUROV I","NIKITIN S","4-1","4-2","4-3","1","1","1"
"4","612","Belarus","BLR","Belarus","6","1","103","4387","Belarus","BLR","6","6","6","273.67","273.67","273670",NA,"TRUE","FALSE","1","1","2","3","HUSKOVA Hanna","HLADCHENKO Stanislau","GUSTYK Maksym","Hanna","Stanislau","Maksym","Huskova","Hladchenko","Gustyk","HUSKOVA H","HLADCHENKO S","GUSTYK M","6-1","6-2","6-3","1","1","1"
